STUDY,STUDY TITLE ,STUDY DESCRIPTION,DATASET,DATASET TITLE,DATASET DESCRIPTION,SAMPLE TECHNOLOGY
EGAS00000000002,WTCCC case-control study for Bipolar Disorder - Combined Controls,WTCCC genome-wide case-control association study for Bipolar Disorder (BD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000003,WTCCC case-control study for Coronary Artery Disease,WTCCC genome-wide case-control association study for Bipolar disorder (CAD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000004,Title not provided,WTCCC1 project Coronary Artery Disease (CAD) samples, Affymetrix 500K
EGAS00000000003,WTCCC case-control study for Coronary Artery Disease,WTCCC genome-wide case-control association study for Bipolar disorder (CAD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000003,WTCCC case-control study for Coronary Artery Disease,WTCCC genome-wide case-control association study for Bipolar disorder (CAD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000004,Title not provided,WTCCC1 project Coronary Artery Disease (CAD) samples, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000009,Title not provided,WTCCC1 project Type 2 Diabetes (T2D) samples, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000005,Title not provided,WTCCC1 project Inflammatory Bowel Disease (IBD) samples, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000006,Title not provided,WTCCC1 project Hypertension (HT) samples, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000003,Title not provided,WTCCC1 project Bipolar Disorder (BD) samples, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000004,WTCCC case-control study for Coronary Artery Disease - Combined Controls,WTCCC genome-wide case-control association study for Coronary Artery Disease (CAD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000005,"WTCCC case-control study for Coronary Artery Disease, Hypertension, T2D - combined cases","WTCCC genome-wide case-control association study using the cardiovascular disease CAD, HT and T2D as combined case collection and the 1958 British Birth Cohort and the UK National Blood Service collections as controls.",EGAD00000000004,Title not provided,WTCCC1 project Coronary Artery Disease (CAD) samples, Affymetrix 500K
EGAS00000000005,"WTCCC case-control study for Coronary Artery Disease, Hypertension, T2D - combined cases","WTCCC genome-wide case-control association study using the cardiovascular disease CAD, HT and T2D as combined case collection and the 1958 British Birth Cohort and the UK National Blood Service collections as controls.",EGAD00000000009,Title not provided,WTCCC1 project Type 2 Diabetes (T2D) samples, Affymetrix 500K
EGAS00000000005,"WTCCC case-control study for Coronary Artery Disease, Hypertension, T2D - combined cases","WTCCC genome-wide case-control association study using the cardiovascular disease CAD, HT and T2D as combined case collection and the 1958 British Birth Cohort and the UK National Blood Service collections as controls.",EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000005,"WTCCC case-control study for Coronary Artery Disease, Hypertension, T2D - combined cases","WTCCC genome-wide case-control association study using the cardiovascular disease CAD, HT and T2D as combined case collection and the 1958 British Birth Cohort and the UK National Blood Service collections as controls.",EGAD00000000006,Title not provided,WTCCC1 project Hypertension (HT) samples, Affymetrix 500K
EGAS00000000005,"WTCCC case-control study for Coronary Artery Disease, Hypertension, T2D - combined cases","WTCCC genome-wide case-control association study using the cardiovascular disease CAD, HT and T2D as combined case collection and the 1958 British Birth Cohort and the UK National Blood Service collections as controls.",EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000006,Genomewide Association Study of Inflammatory Bowel Disease,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000005,Title not provided,WTCCC1 project Inflammatory Bowel Disease (IBD) samples, Affymetrix 500K
EGAS00000000006,Genomewide Association Study of Inflammatory Bowel Disease,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000006,Genomewide Association Study of Inflammatory Bowel Disease,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000004,Title not provided,WTCCC1 project Coronary Artery Disease (CAD) samples, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000009,Title not provided,WTCCC1 project Type 2 Diabetes (T2D) samples, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000005,Title not provided,WTCCC1 project Inflammatory Bowel Disease (IBD) samples, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000006,Title not provided,WTCCC1 project Hypertension (HT) samples, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000003,Title not provided,WTCCC1 project Bipolar Disorder (BD) samples, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000007,Genomewide Association Study of Inflammatory Bowel Disease - Combined Controls,WTCCC genome-wide case-control association study for Inflammatory Bowel Disease (IBD) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000008,"WTCCC case-control study for Inflammatory Bowel Disease, T1D and RA - combined cases",WTCCC genome-wide case-control association study using three disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000005,Title not provided,WTCCC1 project Inflammatory Bowel Disease (IBD) samples, Affymetrix 500K
EGAS00000000008,"WTCCC case-control study for Inflammatory Bowel Disease, T1D and RA - combined cases",WTCCC genome-wide case-control association study using three disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000008,"WTCCC case-control study for Inflammatory Bowel Disease, T1D and RA - combined cases",WTCCC genome-wide case-control association study using three disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000008,"WTCCC case-control study for Inflammatory Bowel Disease, T1D and RA - combined cases",WTCCC genome-wide case-control association study using three disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000008,"WTCCC case-control study for Inflammatory Bowel Disease, T1D and RA - combined cases",WTCCC genome-wide case-control association study using three disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000009,WTCCC case-control study for Hypertension,WTCCC genome-wide case-control association study for Hypertension (HT) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000009,WTCCC case-control study for Hypertension,WTCCC genome-wide case-control association study for Hypertension (HT) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000006,Title not provided,WTCCC1 project Hypertension (HT) samples, Affymetrix 500K
EGAS00000000009,WTCCC case-control study for Hypertension,WTCCC genome-wide case-control association study for Hypertension (HT) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000004,Title not provided,WTCCC1 project Coronary Artery Disease (CAD) samples, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000009,Title not provided,WTCCC1 project Type 2 Diabetes (T2D) samples, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000005,Title not provided,WTCCC1 project Inflammatory Bowel Disease (IBD) samples, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000006,Title not provided,WTCCC1 project Hypertension (HT) samples, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000003,Title not provided,WTCCC1 project Bipolar Disorder (BD) samples, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000010,WTCCC case-control study for Hypertension - Combined Controls,WTCCC genome-wide case-control association study for Hypertension (HT) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000011,WTCCC case-control study for Rheumatoid Arthritis,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000011,WTCCC case-control study for Rheumatoid Arthritis,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000011,WTCCC case-control study for Rheumatoid Arthritis,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000011,WTCCC case-control study for Rheumatoid Arthritis,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000004,Title not provided,WTCCC1 project Coronary Artery Disease (CAD) samples, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000009,Title not provided,WTCCC1 project Type 2 Diabetes (T2D) samples, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000005,Title not provided,WTCCC1 project Inflammatory Bowel Disease (IBD) samples, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000006,Title not provided,WTCCC1 project Hypertension (HT) samples, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000003,Title not provided,WTCCC1 project Bipolar Disorder (BD) samples, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000012,WTCCC case-control study for Rheumatoid Arthritis - Combined Controls,WTCCC genome-wide case-control association study for Rheumatoid Arthritis (RA) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000013,WTCCC case-control study for T1D and RA - combined cases,WTCCC genome-wide case-control association study using two disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000013,WTCCC case-control study for T1D and RA - combined cases,WTCCC genome-wide case-control association study using two disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000013,WTCCC case-control study for T1D and RA - combined cases,WTCCC genome-wide case-control association study using two disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000013,WTCCC case-control study for T1D and RA - combined cases,WTCCC genome-wide case-control association study using two disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000014,WTCCC case-control study for Type 1 Diabetes,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000014,WTCCC case-control study for Type 1 Diabetes,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000014,WTCCC case-control study for Type 1 Diabetes,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000004,Title not provided,WTCCC1 project Coronary Artery Disease (CAD) samples, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000009,Title not provided,WTCCC1 project Type 2 Diabetes (T2D) samples, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000005,Title not provided,WTCCC1 project Inflammatory Bowel Disease (IBD) samples, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000007,Title not provided,WTCCC1 project Rheumatooid arthritis (RA) samples, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000006,Title not provided,WTCCC1 project Hypertension (HT) samples, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000003,Title not provided,WTCCC1 project Bipolar Disorder (BD) samples, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000008,Title not provided,WTCCC1 project Type 1 Diabetes (T1D) samples, Affymetrix 500K
EGAS00000000015,WTCCC case-control study for Type 1 Diabetes - Combined Controls,WTCCC genome-wide case-control association study for Type 1 Diabetes (T1D) using six disease collections together with the 1958 British Birth Cohort and the UK National Blood Service collections as controls.,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
EGAS00000000016,WTCCC case-control study for Type 2 Diabetes,WTCCC genome-wide case-control association study for Type 2 Diabetes (T2D) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000009,Title not provided,WTCCC1 project Type 2 Diabetes (T2D) samples, Affymetrix 500K
EGAS00000000016,WTCCC case-control study for Type 2 Diabetes,WTCCC genome-wide case-control association study for Type 2 Diabetes (T2D) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000001,WTCCC 1958BC Control dataset test,WTCCC1 project samples from 1958 British Birth Cohort, Affymetrix 500K
EGAS00000000016,WTCCC case-control study for Type 2 Diabetes,WTCCC genome-wide case-control association study for Type 2 Diabetes (T2D) using the 1958 British Birth Cohort and the UK National Blood Service collections as controls.     ,EGAD00000000002,Title not provided,WTCCC1 project samples from UK National Blood Service, Affymetrix 500K
